Token,Item Name,Variation Name,SKU,Description,Reporting Category,GTIN,Item Type,Weight (lb),Social Media Link Title,Social Media Link Description,Price,Online Sale Price,Archived,Sellable,Stockable,Skip Detail Screen in POS,Option Name 1,Option Value 1,Default Unit Cost,Default Vendor Name,Default Vendor Code,Current Quantity Nancys,New Quantity Nancys,Stock Alert Enabled Nancys,Stock Alert Count Nancys
TOKEN_1,Organic Cotton T-Shirt,Small,SKU_1,100% organic soft cotton t-shirt,Apparel,7894561230123,Physical,,,,,24.99,20.99,N,Y,Y,N,Sizes,Small,12.99,KT's Clothes,ABC123,10,15,Y,5
TOKEN_2,Organic Cotton T-Shirt,Medium,SKU_2,100% organic soft cotton t-shirt,Apparel,7894561230123,Physical,,,,,24.99,20.99,N,Y,Y,N,Sizes,Medium,12.99,KT's Clothes,ABC123,12,18,Y,5
TOKEN_3,Organic Cotton T-Shirt,Large,SKU_3,100% organic soft cotton t-shirt,Apparel,7894561230123,Physical,,,,,24.99,20.99,N,Y,Y,N,Sizes,Large,12.99,KT's Clothes,ABC123,8,12,Y,5
TOKEN_4,Stylish Hoodie,Small,SKU_4,Stylish and comfortable hoodie,Apparel,5468791320357,Physical,1.5,,,,,49.99,,N,Y,N,Y,Sizes,Small,25.00,Fashion Store,DEF456,5,10,N,
TOKEN_5,Stylish Hoodie,Medium,SKU_5,Stylish and comfortable hoodie,Apparel,5468791320357,Physical,1.5,,,,,49.99,,N,Y,N,Y,Sizes,Medium,25.00,Fashion Store,DEF456,8,12,N,
TOKEN_6,Stylish Hoodie,Large,SKU_6,Stylish and comfortable hoodie,Apparel,5468791320357,Physical,1.5,,,,,49.99,,N,Y,N,Y,Sizes,Large,25.00,Fashion Store,DEF456,6,8,N,
TOKEN_7,Canvas Tote Bag,One Size,SKU_7,Durable canvas tote bag for everyday use,Accessories,9876543210987,Physical,0.5,,,,,19.99,15.99,N,Y,Y,N,,,10.00,Bag Shop,GHI789,20,30,Y,10
TOKEN_8,Leather Wallet,One Size,SKU_8,Genuine leather wallet with multiple compartments,Accessories,6547893210654,Physical,0.2,,,,,39.99,,N,Y,Y,N,,,20.00,Leather Goods,JKL123,15,20,Y,5
TOKEN_9,Baseball Cap,One Size,SKU_9,Classic baseball cap with adjustable strap,Accessories,3216549870321,Physical,0.3,,,,,14.99,,N,Y,Y,N,,,7.50,Hat Store,MNO456,30,40,Y,10
TOKEN_10,Winter Scarf,One Size,SKU_10,Warm and cozy winter scarf,Accessories,8529637410852,Physical,0.4,,,,,29.99,24.99,N,Y,Y,N,,,15.00,Winter Wear,PQR789,12,18,Y,5
TOKEN_11,Coffee Mug,One Size,SKU_11,Ceramic coffee mug with unique design,Home Goods,7418529630741,Physical,0.8,,,,,12.99,,N,Y,Y,N,,,6.50,Mug Store,STU123,40,60,Y,15
TOKEN_12,Scented Candle,One Size,SKU_12,Relaxing scented candle with essential oils,Home Goods,9638527410963,Physical,1.0,,,,,19.99,15.99,N,Y,Y,N,,,10.00,Candle Shop,VWX456,25,35,Y,10
TOKEN_13,Throw Pillow,One Size,SKU_13,Soft and decorative throw pillow for couch or bed,Home Goods,2587413690258,Physical,1.2,,,,,24.99,,N,Y,Y,N,,,12.50,Pillow Store,YZA789,18,24,Y,5
