Token,Item Name,Variation Name,SKU,Description,Reporting Category,SEO Title,SEO Description,Permalink,GTIN,Square Online Item Visibility,Item Type,Weight (lb),Social Media Link Title,Social Media Link Description,Shipping Enabled,Self-serve Ordering Enabled,Delivery Enabled,Pickup Enabled,Price,Online Sale Price,Archived,Sellable,Stockable,Skip Detail Screen in POS,Option Name 1,Option Value 1,Default Unit Cost,Default Vendor Name,Default Vendor Code,Current Quantity Nancys,New Quantity Nancys,Stock Alert Enabled Nancys,Stock Alert Count Nancys
773LUHU7FKKEMGWAQIMW7QXU,Action Camera,One Size,SKU_108,Rugged action camera for capturing adventures,Electronics,,,,8529637410852,visible,Physical good,0.3,Record your adventures in any environment,Waterproof and durable action camera with high-resolution video capture,Y,,Y,Y,199.99,179.99,N,,,,,,99.99,Action Camera Store,VWX456,15,,Y,5
7IUTOJ3GLAQJGCTFYMOPV7D5,Air Fryer,One Size,SKU_100,Air fryer for healthy and crispy fried food,Kitchen Appliances,,,,3698521470369,visible,Physical good,10,Fry your favorite foods with less oil,Air fryer with adjustable temperature and timer for healthy and crispy fried food,Y,,Y,Y,99.99,89.99,N,,,,,,50.00,Air Fryer Store,HIJ789,15,,Y,5
DHG7RRZKMYILW3JHMTEKKEQK,Area Rug,Cotton,AR-CO,Wool area rug with geometric pattern,Rugs,,,,14837012345679,visible,Physical good,,,,Y,,Y,Y,149.99,,N,,,Y,Size,Cotton,100.00,Home Furnishings,HOM123,12,,Y,5
H3QV3GLHOUF6M4LG3MNLBIFL,Area Rug,Wool,AR-WO,,Rugs,,,,13726901234568,visible,Physical good,,,,,,,,249.99,,N,,,Y,Size,Wool,150.00,Home Furnishings,HOM123,8,,Y,5
3TPDMRBHMQQW7PEDYPH2V6FZ,Armchair,Accent,AC-AC,Accent armchair with upholstered seat,Living Room Furniture,,,,15040367890124,visible,Physical good,,,,Y,,Y,Y,299.99,,N,,,Y,Size,Accent,200.00,Home Furnishings,HOM123,12,,Y,5
JGOEOIOB2TQB64OFZPVUKXCZ,Art Supplies,Paint Set,AS-PS,Paint set with various colors and brushes,Art Supplies,,,,13715890123468,visible,Physical good,,,,Y,,Y,Y,19.99,,N,,,Y,Size,Paint Set,12.50,KT's Clothes,ABC123,25,,Y,5
LP2FNZMGBZ57VJ74ZMCNFJJY,Art Supplies,Construction Paper,AS-CP,,Art Supplies,,,,14826901234579,visible,Physical good,,,,,,,,5.99,,N,,,Y,Size,Construction Paper,4.00,KT's Clothes,ABC123,30,,Y,5
FTQPUUVOZDVUWQ7CU4SHAE4A,Backpack,Large,BP-LG,Durable backpack with laptop compartment,Backpacks,,,,7589012346802,visible,Physical good,,,,Y,,Y,Y,49.99,,N,,,Y,Size,Large,30.00,KT's Clothes,ABC123,22,,Y,5
N3OURIFOJJVIP3MLO6TWEZFN,Backpack,Standard,BP-ST,,Backpacks,,,,6478901235791,visible,Physical good,,,,,,,,39.99,,N,,,Y,Size,Standard,25.00,KT's Clothes,ABC123,25,,Y,5
NGARIJGHB3W7ZKMUFYMHKEUI,Baseball Cap,Navy,BC-N,Adjustable baseball cap with embroidered logo,Hats,,,,93586042971570,visible,Physical good,,,,Y,,Y,Y,19.99,,N,,,Y,Size,Navy,12.50,KT's Clothes,ABC123,30,,Y,5
NHPQQD5E5OAVBH2QYHYSXZWA,Baseball Cap,Black,BC-B,,Hats,,,,10467153082681,visible,Physical good,,,,,,,,19.99,,N,,,Y,Size,Black,12.50,KT's Clothes,ABC123,25,,Y,5
FJDHOC74BH4XGRODIYSOFGXP,Baseball Cap,Red,BC-R,,Hats,,,,11578264193792,visible,Physical good,,,,,,,,19.99,,N,,,Y,Size,Red,12.50,KT's Clothes,ABC123,20,,Y,5
BYLBJXOR35KNSQEGY43JNBDD,Bath Mat,Chenille,BM-CH,Chenille bath mat with non-slip backing,Bathroom,,,,93726901234568,visible,Physical good,,,,Y,,Y,Y,19.99,,N,,,Y,Size,Chenille,12.50,Home Furnishings,HOM123,15,,Y,5
LDZIXRHHEWDOOSKYNCO3MOTL,Bath Towel Set,Cotton,BT-CO,Cotton bath towel set with two bath towels and two hand towels,Bathroom,,,,82615890123457,visible,Physical good,,,,Y,,Y,Y,39.99,,N,,,Y,Size,Cotton,25.00,Home Furnishings,HOM123,12,,Y,5
MT7AZNNOD3OLXYYKJPXXYR5V,Bed Frame,Queen,BF-QU,Queen size bed frame with headboard and footboard,Bedroom Furniture,,,,60595812345679,visible,Physical good,,,,Y,,Y,Y,299.99,,N,,,Y,Size,Queen,200.00,Home Furnishings,HOM123,5,,Y,5
KFF4UXXYMAZMXRHGCCXK3XLM,Blender,One Size,SKU_92,Powerful blender for smoothies and soups,Kitchen Appliances,,,,9875436120987,visible,Physical good,8,Create delicious smoothies and soups with ease,High-powered blender with multiple speed settings and durable blades,Y,,Y,Y,99.99,89.99,N,,,,,,50.00,Blender Store,JKL456,15,,Y,5
PWL7CK25IEKXKQ36HX5WUH2Q,Bluetooth Speaker,Small,BS-S,Compact Bluetooth speaker with long battery life,Electronics,,,,37135740769368,visible,Physical good,,,,Y,,Y,Y,49.99,,N,,,Y,Size,Small,30.00,KT's Clothes,ABC123,15,,Y,5
V5JB3VXXCNGOYUZLOMK5723R,Bluetooth Speaker,Large,BS-L,,Electronics,,,,48246851870479,visible,Physical good,,,,,,,,69.99,,N,,,Y,Size,Large,40.00,KT's Clothes,ABC123,12,,Y,5
ICDUU3CJHPSDKVKSKF2JNVKB,Bookshelf,Tall,BO-TA,Tall bookshelf with five shelves,Home Office Furniture,,,,12615890123457,visible,Physical good,,,,Y,,Y,Y,119.99,,N,,,Y,Size,Tall,75.00,Home Furnishings,HOM123,15,,Y,5
P5XFJBZWB4L5CEDAAMB63O77,Bra,T-Shirt,BR-TS,Women's t-shirt bra,Bras,,,,92625890123468,visible,Physical good,,,,Y,,Y,Y,29.99,,N,,,Y,Size,T-Shirt,20.00,KT's Apparel,APP123,12,,Y,5
ZXSQBDIMNRSG55NDVKGWX44G,Bra,Sports,BR-SP,,Bras,,,,10373690123457,visible,Physical good,,,,,,,,39.99,,N,,,Y,Size,Sports,25.00,KT's Apparel,APP123,10,,Y,5
GLHJSNMRPHNGS7TBXJMP6GQP,Bra,Push-Up,BR-PU,,Bras,,,,11484701234568,visible,Physical good,,,,,,,,34.99,,N,,,Y,Size,Push-Up,22.50,KT's Apparel,APP123,11,,Y,5
JQ3QWF6RM6YJG6L6PJVWLCSF,Bracelet,Bangle,BR-BA,Silver bangle bracelet,Bracelets,,,,93825678901357,visible,Physical good,,,,Y,,Y,Y,119.99,,N,,,Y,Size,Bangle,75.00,KT's Jewelry,JWL123,10,,Y,5
F3ATZ6DDEJTYQ52LCIPFJD6M,Bracelet,Charm,BR-CH,,Bracelets,,,,10493678901246,visible,Physical good,,,,,,,,159.99,,N,,,Y,Size,Charm,100.00,KT's Jewelry,JWL123,14,,Y,5
CRQYIVIEN5MT6NBBTICWSBDS,Brake Pads,Front,BP-FR,Front brake pads for disc brakes,Brake Pads,,,,91695890123456,visible,Physical good,,,,Y,,Y,Y,69.00,,N,,,Y,Size,Front,40.00,KT's Autos,AUT123,20,,Y,5
DIKGI2NLIMA56FA5PCRH5MU3,Brake Pads,Rear,BP-RE,,Brake Pads,,,,10270690123456,visible,Physical good,,,,,,,,59.00,,N,,,Y,Size,Rear,35.00,KT's Autos,AUT123,25,,Y,5
