Ticker: KTTA, Rel Vol: 1,698.62, % Change: 2.74 USD
Ticker: OGEN, Rel Vol: 158.90, % Change: 0.2960 USD
Ticker: ACET, Rel Vol: 124.47, % Change: 1.01 USD
Ticker: BSLK, Rel Vol: 80.83, % Change: 0.2950 USD
Ticker: RANI, Rel Vol: 75.66, % Change: 1.44 USD
Ticker: UPC, Rel Vol: 69.57, % Change: 0.2055 USD
Ticker: MLAC, Rel Vol: 45.82, % Change: 9.96 USD
Ticker: RFAC, Rel Vol: 44.61, % Change: 8.74 USD
Ticker: ATXG, Rel Vol: 33.30, % Change: 0.7800 USD
Ticker: CPIX, Rel Vol: 32.14, % Change: 5.08 USD
Ticker: SNAX, Rel Vol: 29.27, % Change: 0.5601 USD
Ticker: ACRV, Rel Vol: 27.92, % Change: 6.97 USD
Ticker: SFHG, Rel Vol: 27.81, % Change: 1.12 USD
Ticker: EDBL, Rel Vol: 27.70, % Change: 0.2080 USD
Ticker: PBHC, Rel Vol: 22.47, % Change: 17.27 USD
Ticker: KIRK, Rel Vol: 20.25, % Change: 1.65 USD
Ticker: DSWL, Rel Vol: 19.95, % Change: 2.33 USD
Ticker: GNLN, Rel Vol: 19.57, % Change: 1.49 USD
Ticker: RENE, Rel Vol: 17.35, % Change: 11.77 USD
Ticker: CYN, Rel Vol: 16.93, % Change: 0.0820 USD
Ticker: ARTL, Rel Vol: 16.33, % Change: 1.40 USD
Ticker: CELU, Rel Vol: 15.55, % Change: 2.65 USD
Ticker: FMC, Rel Vol: 15.23, % Change: 35.92 USD
Ticker: AKAN, Rel Vol: 14.32, % Change: 1.70 USD
Ticker: INDP, Rel Vol: 13.67, % Change: 0.8300 USD
Ticker: PWM, Rel Vol: 12.55, % Change: 1.16 USD
Ticker: CNFR, Rel Vol: 11.38, % Change: 0.9800 USD
Ticker: SPRC, Rel Vol: 10.52, % Change: 0.4206 USD
Ticker: CHEB, Rel Vol: 9.59, % Change: 10.13 USD
Ticker: MRCY, Rel Vol: 9.24, % Change: 49.88 USD
Ticker: DGLY, Rel Vol: 8.79, % Change: 0.2120 USD
Ticker: BOWN, Rel Vol: 8.76, % Change: 4.49 USD
Ticker: ASST, Rel Vol: 8.67, % Change: 0.7900 USD
Ticker: DARE, Rel Vol: 8.62, % Change: 3.01 USD
Ticker: PEPG, Rel Vol: 8.52, % Change: 1.34 USD
Ticker: MBRX, Rel Vol: 8.33, % Change: 0.9918 USD
